curso,prerrequisitos,nivel,carrera
"Diseño y antropologia","Ninguno","Ciclo 2","Diseño profesional grafico"
"Matematica basica","Ninguno","Ciclo 2","Diseño profesional grafico"
"Fundamentos del diseño 2","Fundamentos del diseño 1","Ciclo 2","Diseño profesional grafico"
"Representacion visual 2","Representacion visual 1","Ciclo 2","Diseño profesional grafico"
"Creadores visuales","Signos y codigos visuales","Ciclo 3","Diseño profesional grafico"
"Diseño digital 1","Aprobar 30 creditos","Ciclo 3","Diseño profesional grafico"
"Imagen y comunicacion 1","Fundamentos del diseño 2","Ciclo 3","Diseño profesional grafico"
"Signos y codigos graficos","Signos y codigos visuales","Ciclo 3","Diseño profesional grafico"
"Taller tipografico 1","Representacion visual","Ciclo 3","Diseño profesional grafico"
"Diseño, arte y estetica 1","Diseño y antropologia","Ciclo 4","Diseño profesional grafico"
"Diseño digital 2","Aprobar 50 creditos","Ciclo 4","Diseño profesional grafico"
"Imagen y comunicacion 2","Imagen y comunicacion 1","Ciclo 4","Diseño profesional grafico"
"Laboratorio de diseño grafico 1","Imagen y comunicacion 1","Ciclo 4","Diseño profesional grafico"
"Taller tipografico 2","Taller tipografico 1","Ciclo 4","Diseño profesional grafico"
"Diseño, arte y estetica 2","Diseño, arte y estetica 1","Ciclo 5","Diseño profesional grafico"
"Diseño digital 3","Aprobar 65 creditos","Ciclo 5","Diseño profesional grafico"
"Imagen y comunicacion 3","Imagen y comunicacion 2","Ciclo 5","Diseño profesional grafico"
"Laboratorio de diseño grafico 2","Laboratorio de diseño grafico 1","Ciclo 5","Diseño profesional grafico"
"Taller tipografico 3","Taller tipografico 2","Ciclo 5","Diseño profesional grafico"
"Diseño, arte y estetica 3","Diseño, arte y estetica 2","Ciclo 6","Diseño profesional grafico"
"Investigacion y usuario","Aprobar 80 creditos","Ciclo 6","Diseño profesional grafico"
"Laboratorio de diseño grafico 3","Laboratorio de diseño grafico 2","Ciclo 6","Diseño profesional grafico"
"Pensamiento innovador","Diseño, arte y estetica 3","Ciclo 7","Diseño profesional grafico"
"Diseño de la informacion 1","Taller tipografico 3","Ciclo 7","Diseño profesional grafico"
"Gestion del diseño 1","Aprobar 90 creditos","Ciclo 7","Diseño profesional grafico"
"Laboratorio de diseño grafico 4","Laboratorio de diseño grafico 3","Ciclo 7","Diseño profesional grafico"
"Diseño de la informacion 2","Diseño de la informacion 1","Ciclo 8","Diseño profesional grafico"
"Investigacion 1","Aprobar 140 creditos","Ciclo 8","Diseño profesional grafico"
"Laboratorio de diseño grafico 5","Laboratorio de diseño grafico 4","Ciclo 8","Diseño profesional grafico"
"Investigacion 2","Investigacion 1","Ciclo 9","Diseño profesional grafico"
"Laboratorio de diseño grafico integral","Laboratorio de diseño grafico 5","Ciclo 9","Diseño profesional grafico"
"Curso de trabajo de investigacion - proyecto de fin de carrera","Laboratorio de diseño grafico integral" "Investigacion 2","Ciclo 10","Diseño profesional grafico"
"Comprension y produccion de lenguaje i","Ninguno","Ciclo 1","Administracion y negocios del deporte"
"Etica y ciudadania","Ninguno","Ciclo 1","Administracion y negocios del deporte"
"Fundamentos para el calculo","Ninguno","Ciclo 1","Administracion y negocios del deporte"
"Desarrollo profesional en el deporte","Ninguno","Ciclo 1","Administracion y negocios del deporte"
"Fundamentos de las finanzas","Ninguno","Ciclo 1","Administracion y negocios del deporte"
"Introduccion a los negocios del deporte","Ninguno","Ciclo 1","Administracion y negocios del deporte"
"Calculo","Fundamentos para el calculo","Ciclo 2","Administracion y negocios del deporte"
"Comprension y produccion de lenguaje ii","Comprension y produccion de lenguaje i","Ciclo 2","Administracion y negocios del deporte"
"Introduccion a la administracion en la glob","Ninguno","Ciclo 2","Administracion y negocios del deporte"
"Macroeconomia","Introduccion a los negocios del deporte","Ciclo 2","Administracion y negocios del deporte"
"Matematica financiera","Fundamentos de las finanzas","Ciclo 2","Administracion y negocios del deporte"
"Olimpismo","Introduccion a los negocios del deporte","Ciclo 2","Administracion y negocios del deporte"
"Estadistica descriptiva","Calculo","Ciclo 3","Administracion y negocios del deporte"
"Fundamentos de la investigacion academica","Comprension y produccion de lenguaje ii","Ciclo 3","Administracion y negocios del deporte"
"Introduccion a la contabilidad financiera","Introduccion a la administracion en la glob" "Fundamentos de las finanzas","Ciclo 3","Administracion y negocios del deporte"
"Modelos de negocios en el deporte","Olimpismo","Ciclo 3","Administracion y negocios del deporte"
"Sports y tendencias deportivas","Introduccion a los negocios del deporte","Ciclo 3","Administracion y negocios del deporte"
"Teoria microeconomica","Fundamentos para el calculo" "Macroeconomia","Ciclo 3","Administracion y negocios del deporte"
"Estadistica inferencial","Estadistica descriptiva","Ciclo 4","Administracion y negocios del deporte"
"Finanzas corporativas","Introduccion a la contabilidad financiera" "Matematica financiera","Ciclo 4","Administracion y negocios del deporte"
"Introduccion a la contabilidad gerencial","Introduccion a la contabilidad financiera","Ciclo 4","Administracion y negocios del deporte"
"Marketing","Introduccion a la administracion en la glob","Ciclo 4","Administracion y negocios del deporte"
"Taller de eventos deportivos","Modelos de negocios en el deporte","Ciclo 4","Administracion y negocios del deporte"
"Deporte y sociedad","Aprobar 70 creditos","Ciclo 5","Administracion y negocios del deporte"
"Gestion del capital humano y global","Ninguno","Ciclo 5","Administracion y negocios del deporte"
"Marketing deportivo","Taller de eventos deportivos","Ciclo 5","Administracion y negocios del deporte"
"Metodos cuantitativos","Estadistica descriptiva","Ciclo 5","Administracion y negocios del deporte"
"Planificacion del deporte recreativo y de salud","Aprobar 70 creditos","Ciclo 5","Administracion y negocios del deporte"
"Administracion de operaciones","Metodos cuantitativos","Ciclo 6","Administracion y negocios del deporte"
"Analisis e interpretacion de estados financieros","Introduccion a la contabilidad gerencial (ca)","Ciclo 6","Administracion y negocios del deporte"
"Diseño organizacional y procesos","Introduccion a la administracion en la glob","Ciclo 6","Administracion y negocios del deporte"
"Gestion de medios en el deporte","Marketing deportivo","Ciclo 6","Administracion y negocios del deporte"
"Planificacion del deporte formativo y competitivo","Planificacion del deporte recreativo y de salud","Ciclo 6","Administracion y negocios del deporte"
"Analisis economico del deporte","Analisis e interpretacion de eeff","Ciclo 7","Administracion y negocios del deporte"
"Comportamiento organizacional","Gestion del capital humano global","Ciclo 7","Administracion y negocios del deporte"
"Comunicacion para el liderazgo","Aprobar 80 creditos","Ciclo 7","Administracion y negocios del deporte"
"Evaluacion de proyectos de inversion privada","Finanzas corporativas","Ciclo 7","Administracion y negocios del deporte"
"Investigacion de mercados aplicada a los negocios","Marketing" "Estadistica inferencial","Ciclo 7","Administracion y negocios del deporte"
"Organizacion y gobernanza deportiva","Aprobar 100 creditos","Ciclo 7","Administracion y negocios del deporte"
"Gestion comercial en el deporte","Gestion de medios en el deporte","Ciclo 8","Administracion y negocios del deporte"
"Gestion de proyectos","Administracion de operaciones","Ciclo 8","Administracion y negocios del deporte"
"Organizacion de eventos deportivos","Analisis economico en el deporte" "Organizacion y gobernanza deportiva","Ciclo 8","Administracion y negocios del deporte"
"Sistemas de informacion en ent. digitales","Administracion de operaciones","Ciclo 8","Administracion y negocios del deporte"
"Derecho y regulacion en el deporte","Organizacion y gobernanza en el deporte","Ciclo 9","Administracion y negocios del deporte"
"Gerencia estrategica en org. conscientes","Aprobar 140 creditos","Ciclo 9","Administracion y negocios del deporte"
"Gestion de infraestructura deportiva","Gestion comercial en el deporte","Ciclo 9","Administracion y negocios del deporte"
"Gestion de marcas en el deporte","Gestion comercial en el deporte","Ciclo 9","Administracion y negocios del deporte"
"Metodologia de la investigacion","Aprobar 140 creditos","Ciclo 9","Administracion y negocios del deporte"
"Curso de trabajo de investigacion - seminario de tesis","Metodologia de la investigacion","Ciclo 10","Administracion y negocios del deporte"
"Etica y responsabilidad social empresarial","Aprobar 140 creditos","Ciclo 10","Administracion y negocios del deporte"
"Gestion de instituciones deportivas","Gestion de infraestructura deportiva","Ciclo 10","Administracion y negocios del deporte"
"Gestion publica en el deporte","Derecho y regulacion en el deporte","Ciclo 10","Administracion y negocios del deporte"
